Dataset,SettlementDate,SettlementPeriodFrom,SettlementPeriodTo,TimeFrom,TimeTo,LevelFrom,LevelTo,AcceptanceNumber,AcceptanceTime,DeemedBoFlag,SoFlag,AmendmentFlag,StorFlag,RrFlag,NationalGridBmUnit,BmUnit
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,1,1,15095,2026-06-25T23:53:00Z,False,False,ORI,False,False,GRCRB-1,E_GRCRB-1
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,-2,-2,52025,2026-06-25T23:46:00Z,False,False,ORI,False,False,AG-HSTK02,2__HSTAT002
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,0,0,66037,2026-06-25T23:45:00Z,False,False,ORI,False,False,FARNB-1,E_FARNB-1
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,0,0,68896,2026-06-25T23:45:00Z,False,False,ORI,False,False,HAWKB-1,E_HAWKB-1
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,0,0,70919,2026-06-25T23:45:00Z,False,False,ORI,False,False,CHAPB-1,E_CHAPB-1
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:13:00Z,0,0,6998,2026-06-25T23:37:00Z,False,False,ORI,False,False,AG-GFLX09,2__GFLEX009
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:13:00Z,0,0,14987,2026-06-25T23:37:00Z,False,False,ORI,False,False,AG-GFLX08,2__GFLEX008
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:13:00Z,-1,-1,17435,2026-06-25T23:37:00Z,False,False,ORI,False,False,AG-DSK01H,V__HDSKC001
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:13:00Z,0,0,18350,2026-06-25T23:37:00Z,False,False,ORI,False,False,NEWPB-1,E_NEWPB-1
BOALF,2026-06-26,3,3,2026-06-26T00:00:00Z,2026-06-26T00:13:00Z,0,0,40104,2026-06-25T23:37:00Z,False,False,ORI,False,False,OCHLB-1,T_OCHLB-1
