PublishTime,StartTime,SettlementDate,SettlementPeriod,InitialDemandOutturn,InitialTransmissionSystemDemandOutturn
2026-05-28T23:30:00Z,2026-05-28T23:00:00Z,2026-05-29,1,22307,24879
2026-05-29T00:00:00Z,2026-05-28T23:30:00Z,2026-05-29,2,22154,24725
2026-05-29T00:30:00Z,2026-05-29T00:00:00Z,2026-05-29,3,21723,24294
2026-05-29T01:00:00Z,2026-05-29T00:30:00Z,2026-05-29,4,21159,23732
2026-05-29T01:30:00Z,2026-05-29T01:00:00Z,2026-05-29,5,21000,23341
2026-05-29T02:00:00Z,2026-05-29T01:30:00Z,2026-05-29,6,20143,22473
2026-05-29T02:30:00Z,2026-05-29T02:00:00Z,2026-05-29,7,19967,21847
2026-05-29T03:00:00Z,2026-05-29T02:30:00Z,2026-05-29,8,19807,21654
2026-05-29T03:30:00Z,2026-05-29T03:00:00Z,2026-05-29,9,19826,20697
2026-05-29T04:00:00Z,2026-05-29T03:30:00Z,2026-05-29,10,19508,20358
2026-05-29T04:30:00Z,2026-05-29T04:00:00Z,2026-05-29,11,19204,20368
2026-05-29T05:00:00Z,2026-05-29T04:30:00Z,2026-05-29,12,19300,20414
2026-05-29T05:30:00Z,2026-05-29T05:00:00Z,2026-05-29,13,20972,21487
2026-05-29T06:00:00Z,2026-05-29T05:30:00Z,2026-05-29,14,21491,22054
2026-05-29T06:30:00Z,2026-05-29T06:00:00Z,2026-05-29,15,22723,23505
2026-05-29T07:00:00Z,2026-05-29T06:30:00Z,2026-05-29,16,23023,24036
2026-05-29T07:30:00Z,2026-05-29T07:00:00Z,2026-05-29,17,23501,24418
2026-05-29T08:00:00Z,2026-05-29T07:30:00Z,2026-05-29,18,23529,24332
2026-05-29T08:30:00Z,2026-05-29T08:00:00Z,2026-05-29,19,23507,24341
2026-05-29T09:00:00Z,2026-05-29T08:30:00Z,2026-05-29,20,22820,23674
2026-05-29T09:30:00Z,2026-05-29T09:00:00Z,2026-05-29,21,22162,23662
2026-05-29T10:00:00Z,2026-05-29T09:30:00Z,2026-05-29,22,21945,23250
2026-05-29T10:30:00Z,2026-05-29T10:00:00Z,2026-05-29,23,21838,23292
2026-05-29T11:00:00Z,2026-05-29T10:30:00Z,2026-05-29,24,21059,23064
2026-05-29T11:30:00Z,2026-05-29T11:00:00Z,2026-05-29,25,20564,22577
2026-05-29T12:00:00Z,2026-05-29T11:30:00Z,2026-05-29,26,19785,21935
2026-05-29T12:30:00Z,2026-05-29T12:00:00Z,2026-05-29,27,19647,21797
2026-05-29T13:00:00Z,2026-05-29T12:30:00Z,2026-05-29,28,18900,21443
2026-05-29T13:30:00Z,2026-05-29T13:00:00Z,2026-05-29,29,18023,20595
