RecordType,StartTime,Demand
VD,2026-01-01T00:00:00Z,30198
VD,2026-01-01T01:00:00Z,30548
VD,2026-01-01T02:00:00Z,29238
VD,2026-01-01T03:00:00Z,28323
VD,2026-01-01T04:00:00Z,27982
VD,2026-01-01T05:00:00Z,27727
VD,2026-01-01T06:00:00Z,27570
VD,2026-01-01T07:00:00Z,27775
VD,2026-01-01T08:00:00Z,28497
VD,2026-01-01T09:00:00Z,29528
VD,2026-01-01T10:00:00Z,30747
VD,2026-01-01T11:00:00Z,30944
VD,2026-01-01T12:00:00Z,32471
VD,2026-01-01T13:00:00Z,33128
VD,2026-01-01T14:00:00Z,33201
VD,2026-01-01T15:00:00Z,34346
VD,2026-01-01T16:00:00Z,36124
VD,2026-01-01T17:00:00Z,37211
VD,2026-01-01T18:00:00Z,36450
VD,2026-01-01T19:00:00Z,35036
VD,2026-01-01T20:00:00Z,32938
VD,2026-01-01T21:00:00Z,30953
VD,2026-01-01T22:00:00Z,28800
VD,2026-01-01T23:00:00Z,27682
VD,2026-01-02T00:00:00Z,28780
VD,2026-01-02T01:00:00Z,28611
VD,2026-01-02T02:00:00Z,28250
VD,2026-01-02T03:00:00Z,27571
VD,2026-01-02T04:00:00Z,27007
VD,2026-01-02T05:00:00Z,26750
VD,2026-01-02T06:00:00Z,27379
VD,2026-01-02T07:00:00Z,29914
VD,2026-01-02T08:00:00Z,33176
VD,2026-01-02T09:00:00Z,35020
VD,2026-01-02T10:00:00Z,34630
VD,2026-01-02T11:00:00Z,34300
VD,2026-01-02T12:00:00Z,33610
VD,2026-01-02T13:00:00Z,34051
VD,2026-01-02T14:00:00Z,35678
VD,2026-01-02T15:00:00Z,38668
VD,2026-01-02T16:00:00Z,41254
VD,2026-01-02T17:00:00Z,43327
VD,2026-01-02T18:00:00Z,42270
VD,2026-01-02T19:00:00Z,40876
VD,2026-01-02T20:00:00Z,38599
VD,2026-01-02T21:00:00Z,35262
VD,2026-01-02T22:00:00Z,32298
VD,2026-01-02T23:00:00Z,29807
VD,2026-01-03T00:00:00Z,29442
VD,2026-01-03T01:00:00Z,29665
VD,2026-01-03T02:00:00Z,28904
VD,2026-01-03T03:00:00Z,28342
