Dataset,SettlementDate,SettlementPeriod,Id,Cost,Volume,SoFlag,StorFlag,PartyId,AssetId,IsTendered,Service
DISBSAD,2026-06-26,3,1,0.00,0.000,True,False,,,,
DISBSAD,2026-06-26,2,1,0.00,0.000,True,False,,,,
DISBSAD,2026-06-26,1,1,0.00,0.000,True,False,,,,
DISBSAD,2026-06-25,48,1,0.00,0.000,True,False,,,,
DISBSAD,2026-06-25,47,1,0.00,0.000,True,False,,,,
DISBSAD,2026-06-25,46,1,3346.00,25.000,True,False,Danske Commodities A/S,IFG-DSKC1,True,System
DISBSAD,2026-06-25,46,2,3302.00,25.000,True,False,Danske Commodities A/S,IFG-DSKC1,True,System
DISBSAD,2026-06-25,46,3,3280.50,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,46,4,67.01,0.500,True,False,Outlook Energy Ltd,IFG-OUTL1,True,System
DISBSAD,2026-06-25,46,5,6631.02,49.500,True,False,MFT Energy A/S,ILG-MFTE1,True,System
DISBSAD,2026-06-25,46,6,3347.00,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,45,2,67.01,0.500,True,False,Outlook Energy Ltd,IFG-OUTL1,True,System
DISBSAD,2026-06-25,45,3,3302.00,25.000,True,False,Danske Commodities A/S,IFG-DSKC1,True,System
DISBSAD,2026-06-25,45,4,3280.50,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,45,5,6631.02,49.500,True,False,MFT Energy A/S,ILG-MFTE1,True,System
DISBSAD,2026-06-25,45,6,3347.00,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,45,1,3346.00,25.000,True,False,Danske Commodities A/S,IFG-DSKC1,True,System
DISBSAD,2026-06-25,44,2,1923.38,8.500,True,False,Outlook Energy Ltd,IBG-OUTL1,True,System
DISBSAD,2026-06-25,44,3,5947.50,25.000,False,False,MFT Energy A/S,IBG-MFTE1,True,Energy
DISBSAD,2026-06-25,44,4,5769.60,24.000,False,False,Atlas Energy Designated Activity Company,IBG-ATLS1,True,Energy
DISBSAD,2026-06-25,44,5,2037.50,12.500,True,False,SEFE Marketing & Trading Limited,IFG-GAZP1,True,System
DISBSAD,2026-06-25,44,6,3857.81,18.500,True,False,Outlook Energy Ltd,IBG-OUTL1,True,System
DISBSAD,2026-06-25,44,7,3939.95,18.500,True,False,Outlook Energy Ltd,IBG-OUTL1,True,System
DISBSAD,2026-06-25,44,8,4104.04,18.500,True,False,Outlook Energy Ltd,IBG-OUTL1,True,System
DISBSAD,2026-06-25,44,9,5600.50,25.000,True,False,Danske Commodities A/S,IBG-DSKC1,True,System
DISBSAD,2026-06-25,44,10,12005.00,62.500,False,False,Outlook Energy Ltd,IVG-OUTL1,True,Energy
DISBSAD,2026-06-25,44,11,2894.13,12.500,False,False,Centrica Energy Trading A/S,IBG-NEAS1,True,Energy
DISBSAD,2026-06-25,44,12,7275.00,25.000,False,False,In Commodities A/S,IBG-INCM1,True,Energy
DISBSAD,2026-06-25,44,13,4015.25,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,44,14,8243.50,50.000,True,False,Outlook Energy Ltd,IFG-OUTL1,True,System
DISBSAD,2026-06-25,44,15,9066.75,37.500,False,False,Danske Commodities A/S,IBG-DSKC1,True,Energy
DISBSAD,2026-06-25,44,16,7389.45,22.500,False,False,Nitor Energy A/S,IBG-NITR1,True,Energy
DISBSAD,2026-06-25,44,17,4025.00,25.000,True,False,SEFE Marketing & Trading Limited,IFG-GAZP1,True,System
DISBSAD,2026-06-25,44,18,2707.15,16.500,True,False,Outlook Energy Ltd,ILG-OUTL1,True,System
DISBSAD,2026-06-25,44,19,4104.00,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,44,20,5625.00,25.000,True,False,BKW Energie AG,IBG-BKWE1,True,System
DISBSAD,2026-06-25,44,21,8381.50,50.000,False,False,Outlook Energy Ltd,I2G-OUTL1,True,Energy
DISBSAD,2026-06-25,44,22,3971.00,25.000,True,False,Danske Commodities A/S,ILG-DSKC1,True,System
DISBSAD,2026-06-25,44,23,4091.26,24.500,True,False,QUANTUM POWER TRADING ApS,IFG-QTPT1,True,System
