StartTime,SettlementDate,SettlementPeriod,Boundary,PublishTime,TransmissionSystemDemand,NationalDemand
2026-06-26T15:00:00Z,2026-06-26,33,N,2026-06-26T14:47:00Z,25545,24365
2026-06-26T15:30:00Z,2026-06-26,34,N,2026-06-26T14:47:00Z,26080,25147
2026-06-26T16:00:00Z,2026-06-26,35,N,2026-06-26T14:47:00Z,28964,26191
2026-06-26T16:30:00Z,2026-06-26,36,N,2026-06-26T14:47:00Z,30554,27781
2026-06-26T17:00:00Z,2026-06-26,37,N,2026-06-26T14:47:00Z,33121,28245
2026-06-26T17:30:00Z,2026-06-26,38,N,2026-06-26T14:47:00Z,33896,29020
2026-06-26T18:00:00Z,2026-06-26,39,N,2026-06-26T14:47:00Z,34966,29309
2026-06-26T18:30:00Z,2026-06-26,40,N,2026-06-26T14:47:00Z,35257,29600
2026-06-26T19:00:00Z,2026-06-26,41,N,2026-06-26T14:47:00Z,34878,29325
2026-06-26T19:30:00Z,2026-06-26,42,N,2026-06-26T14:47:00Z,34356,28803
2026-06-26T20:00:00Z,2026-06-26,43,N,2026-06-26T14:47:00Z,33804,28981
2026-06-26T20:30:00Z,2026-06-26,44,N,2026-06-26T14:47:00Z,33823,29000
2026-06-26T21:00:00Z,2026-06-26,45,N,2026-06-26T14:47:00Z,32206,28583
2026-06-26T21:30:00Z,2026-06-26,46,N,2026-06-26T14:47:00Z,31891,28268
2026-06-26T22:00:00Z,2026-06-26,47,N,2026-06-26T14:47:00Z,29798,26435
2026-06-26T22:30:00Z,2026-06-26,48,N,2026-06-26T14:47:00Z,28783,25420
2026-06-26T23:00:00Z,2026-06-27,1,N,2026-06-26T14:47:00Z,27575,24340
2026-06-26T23:30:00Z,2026-06-27,2,N,2026-06-26T14:47:00Z,27080,23845
2026-06-27T00:00:00Z,2026-06-27,3,N,2026-06-26T14:47:00Z,26016,22696
2026-06-27T00:30:00Z,2026-06-27,4,N,2026-06-26T14:47:00Z,26180,22860
2026-06-27T01:00:00Z,2026-06-27,5,N,2026-06-26T14:47:00Z,25549,22413
2026-06-27T01:30:00Z,2026-06-27,6,N,2026-06-26T14:47:00Z,25007,21871
2026-06-27T02:00:00Z,2026-06-27,7,N,2026-06-26T14:47:00Z,24559,21377
2026-06-27T02:30:00Z,2026-06-27,8,N,2026-06-26T14:47:00Z,24131,20949
2026-06-27T03:00:00Z,2026-06-27,9,N,2026-06-26T14:47:00Z,23914,20775
2026-06-27T03:30:00Z,2026-06-27,10,N,2026-06-26T14:47:00Z,23496,20357
2026-06-27T04:00:00Z,2026-06-27,11,N,2026-06-26T14:47:00Z,23562,20299
2026-06-27T04:30:00Z,2026-06-27,12,N,2026-06-26T14:47:00Z,23263,20000
2026-06-27T05:00:00Z,2026-06-27,13,N,2026-06-26T14:47:00Z,23106,20550
2026-06-27T05:30:00Z,2026-06-27,14,N,2026-06-26T14:47:00Z,23233,20677
2026-06-27T06:00:00Z,2026-06-27,15,N,2026-06-26T14:47:00Z,21796,21296
