Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-07T00:00:00Z,APXMIDP,2026-01-07,1,71.62,1861.450
MID,2026-01-07T00:00:00Z,N2EXMIDP,2026-01-07,1,0.00,0.000
MID,2026-01-06T23:30:00Z,APXMIDP,2026-01-06,48,74.41,2114.650
MID,2026-01-06T23:30:00Z,N2EXMIDP,2026-01-06,48,0.00,0.000
MID,2026-01-06T23:00:00Z,APXMIDP,2026-01-06,47,78.51,2219.350
MID,2026-01-06T23:00:00Z,N2EXMIDP,2026-01-06,47,0.00,0.000
MID,2026-01-06T22:30:00Z,APXMIDP,2026-01-06,46,76.95,3499.250
MID,2026-01-06T22:30:00Z,N2EXMIDP,2026-01-06,46,0.00,0.000
MID,2026-01-06T22:00:00Z,APXMIDP,2026-01-06,45,77.88,3097.050
MID,2026-01-06T22:00:00Z,N2EXMIDP,2026-01-06,45,0.00,0.000
MID,2026-01-06T21:30:00Z,APXMIDP,2026-01-06,44,79.34,2913.200
MID,2026-01-06T21:30:00Z,N2EXMIDP,2026-01-06,44,0.00,0.000
MID,2026-01-06T21:00:00Z,APXMIDP,2026-01-06,43,80.78,3140.450
MID,2026-01-06T21:00:00Z,N2EXMIDP,2026-01-06,43,0.00,0.000
MID,2026-01-06T20:30:00Z,APXMIDP,2026-01-06,42,86.66,3257.400
MID,2026-01-06T20:30:00Z,N2EXMIDP,2026-01-06,42,0.00,0.000
MID,2026-01-06T20:00:00Z,APXMIDP,2026-01-06,41,90.65,3497.900
MID,2026-01-06T20:00:00Z,N2EXMIDP,2026-01-06,41,0.00,0.000
MID,2026-01-06T19:30:00Z,APXMIDP,2026-01-06,40,92.63,3546.250
MID,2026-01-06T19:30:00Z,N2EXMIDP,2026-01-06,40,0.00,0.000
MID,2026-01-06T19:00:00Z,APXMIDP,2026-01-06,39,98.76,3710.200
MID,2026-01-06T19:00:00Z,N2EXMIDP,2026-01-06,39,0.00,0.000
MID,2026-01-06T18:30:00Z,APXMIDP,2026-01-06,38,104.70,4303.700
MID,2026-01-06T18:30:00Z,N2EXMIDP,2026-01-06,38,0.00,0.000
MID,2026-01-06T18:00:00Z,APXMIDP,2026-01-06,37,109.05,4457.350
MID,2026-01-06T18:00:00Z,N2EXMIDP,2026-01-06,37,0.00,0.000
