Dataset,SettlementDate,SettlementPeriod,Time,Rate1,Elbow2,Rate2,Elbow3,Rate3,NationalGridBmUnit,BmUnit
RURI,2026-01-06,34,2026-01-06T16:52:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-06,34,2026-01-06T16:43:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-05,47,2026-01-05T23:28:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-13,40,2026-01-13T19:57:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-13,40,2026-01-13T19:45:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-12,10,2026-01-12T04:38:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-10,41,2026-01-10T20:07:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-10,17,2026-01-10T08:00:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-08,29,2026-01-08T14:25:00Z,0.2,,,,,PGHAT-1,E_PGHATF
RURI,2026-01-08,23,2026-01-08T11:11:00Z,0.2,,,,,PGDID-1,E_PGDIDC
RURI,2026-01-08,23,2026-01-08T11:00:00Z,0.2,,,,,PGHAY-1,E_PGHAYD
RURI,2026-01-08,23,2026-01-08T11:00:00Z,0.2,,,,,PGCOV-1,E_PGCOVE
RURI,2026-01-20,43,2026-01-20T21:22:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-20,34,2026-01-20T16:35:00Z,0.2,-2.0,0.2,-1.0,0.2,AG-GFLX09,2__GFLEX009
RURI,2026-01-20,10,2026-01-20T04:31:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-20,10,2026-01-20T04:31:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-18,41,2026-01-18T20:28:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-18,32,2026-01-18T15:40:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-18,28,2026-01-18T13:39:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-17,12,2026-01-17T05:30:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-01-17,7,2026-01-17T03:03:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-16,25,2026-01-16T12:29:00Z,0.2,-2.0,0.2,-1.0,0.2,SPLN-1,T_SPLN-1
RURI,2026-01-15,27,2026-01-15T13:13:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-15,25,2026-01-15T12:23:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-23,43,2026-01-23T21:04:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-01-23,24,2026-01-23T11:32:00Z,999.0,,,,,WHTBB-1,E_WHTBB-1
RURI,2026-01-22,45,2026-01-22T22:28:00Z,999.0,,,,,AG-GFLX09,2__GFLEX009
RURI,2026-01-22,45,2026-01-22T22:25:00Z,1.0,,,,,AG-GFLX09,2__GFLEX009
RURI,2026-01-22,23,2026-01-22T11:22:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,CRSSB-1,E_CRSSB-1
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,HFSE02,2__HCMRO002
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,NTRVB-1,T_NTRVB-1
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,PNYCB-1,T_PNYCB-1
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,SZJNB-1,T_SZJNB-1
RURI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,TEBWB-1,T_TEBWB-1
RURI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,BFSE03,2__BCMRO002
RURI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,POTES-1,E_POTES-1
RURI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,FFSE01,2__FCMRO002
RURI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,FFSE02,2__FCMRO003
RURI,2026-02-02,27,2026-02-02T13:13:00Z,50.0,,,,,BLPFB-1,T_BLPFB-1
RURI,2026-01-31,7,2026-01-31T03:24:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
