ParticipantId,ParticipantName,CreditDefaultLevel,EnteredDefaultSettlementDate,EnteredDefaultSettlementPeriod,ClearedDefaultSettlementDate,ClearedDefaultSettlementPeriod,ClearedDefaultText
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
EPCO1,ESSO Petroleum Company Ltd,2,2026-06-02,2,2026-06-20,1,Credit Cover Percentage <= 90% of Credit Limit (Level 2 Default)
EPCO1,ESSO Petroleum Company Ltd,1,2026-06-03,1,2026-06-20,1,Credit Cover Percentage <= 75% of Credit Limit (Level 1 Default)
